FASTA_NAME	Gs(U)_NO_ALA_N2	Gs(U)_NO_AHR_N2	Gs(U)_NO_AHR_Ar	Gs(U)_NO_AHR_K	Gs(U)_NO_AHR_SI50	Gs(U)_NO_PRT_N2	Gs(U)_NO_PRT_Ar	Gs(U)_NO_PRT_K	Gs(U)_NO_PRT_SI50	Mw_NO_ALA_N2	Mw_NO_AHR_N2	Mw_NO_AHR_Ar	Mw_NO_AHR_K	Mw_NO_AHR_SI50	Mw_NO_PRT_N2	Mw_NO_PRT_Ar	Mw_NO_PRT_K	Mw_NO_PRT_SI50
seq13	1,339.39	9,072.77	-112.38	21,228.28	0.33	13,431.85	-165.13	146,894.94	0.42	511.99	1,797.28	110.55	32,899.28	0.26	2,799.06	109.94	151,169.00	0.38
seq14	1,017.34	6,924.90	-413.25	6,219.39	0.27	8,146.92	-253.12	13,954.02	0.43	388.88	1,196.55	111.76	7,058.95	0.20	1,544.74	107.24	19,037.74	0.40
seq15	1,520.35	13,486.71	-207.39	87,991.29	0.29	17,577.15	-110.69	376,800.79	0.39	581.16	2,508.11	116.45	128,756.25	0.22	3,650.43	111.38	352,362.25	0.35
seq16	525.35	4,216.63	-195.34	1,200.35	0.43	5,845.15	-149.28	4,551.18	0.58	200.82	828.76	116.45	1,706.61	0.35	1,213.29	115.32	3,858.29	0.52
seq17	1,661.31	11,966.53	-122.40	58,900.51	0.29	17,641.93	-66.12	446,004.27	0.39	635.04	2,316.27	113.45	92,347.16	0.24	3,737.85	110.63	423,166.80	0.36
seq18	742.96	3,822.07	-131.83	896.29	0.42	6,527.42	-111.26	10,779.73	0.50	284.00	771.62	107.14	1,252.98	0.39	1,412.43	105.24	11,721.57	0.48
seq19	788.03	4,654.01	-152.52	1,411.87	0.39	6,395.48	-93.78	5,961.78	0.53	301.23	876.49	109.25	1,925.67	0.33	1,237.16	105.27	8,603.32	0.48
seq20	742.96	4,646.59	-163.98	1,389.80	0.39	6,420.07	-92.60	6,040.76	0.53	284.00	870.72	110.54	1,897.76	0.33	1,240.10	105.62	8,725.81	0.48
seq21	765.83	5,726.72	-42.33	2,879.81	0.37	8,567.16	-84.75	15,265.72	0.50	292.74	1,109.95	113.70	5,231.08	0.29	1,665.48	115.81	16,494.72	0.44
seq22	1,144.98	9,404.56	-148.33	24,303.28	0.33	13,600.53	-95.60	192,415.88	0.42	437.67	1,850.10	115.88	37,911.02	0.26	2,954.04	108.87	198,299.83	0.38
seq23	643.42	6,651.67	-228.49	5,910.48	0.37	9,729.25	-86.28	35,976.77	0.49	245.95	1,270.80	119.75	8,876.64	0.29	2,032.75	114.74	31,074.64	0.44
seq24	851.17	8,923.14	-219.10	19,894.86	0.33	12,556.08	-151.68	99,343.16	0.44	325.36	1,721.90	119.47	28,570.03	0.26	2,653.63	114.40	81,440.89	0.39
seq25	587.36	4,670.94	-200.81	1,739.32	0.42	6,493.40	-110.54	6,011.48	0.56	224.52	916.90	116.42	2,548.68	0.32	1,314.88	113.96	6,456.34	0.48
seq26	557.22	4,058.87	-12.65	700.11	0.48	6,447.75	-63.35	10,218.78	0.55	213.00	793.03	112.35	1,358.88	0.42	1,412.04	113.27	6,419.65	0.51
seq27	669.70	4,261.79	-122.53	1,098.62	0.42	6,061.06	-122.11	4,290.49	0.55	255.99	831.30	111.62	1,695.55	0.33	1,153.80	107.70	6,419.30	0.51
seq28	1,402.31	9,759.58	-89.11	25,516.88	0.32	13,340.60	-84.40	139,862.60	0.43	536.04	1,892.53	112.07	40,725.92	0.26	2,853.71	112.55	121,898.57	0.39
seq29	788.03	4,993.95	-347.71	2,388.68	0.37	6,778.12	-191.03	9,457.31	0.51	301.23	944.35	112.54	2,837.52	0.24	1,407.34	106.66	10,815.26	0.46
seq30	1,450.68	9,015.07	-129.18	20,570.10	0.33	13,488.36	-110.57	218,651.63	0.41	554.53	1,781.13	111.36	31,368.53	0.27	3,093.48	110.28	174,208.37	0.39
seq31	1,364.91	8,775.92	-135.50	17,914.22	0.33	13,565.43	-105.19	208,976.90	0.42	521.74	1,718.30	111.98	27,741.02	0.27	3,080.63	110.36	173,980.29	0.39
seq32	1,083.04	8,424.53	-8.33	12,716.32	0.33	12,399.80	-96.44	134,661.63	0.42	414.00	1,645.17	112.44	22,257.87	0.29	2,682.80	109.22	115,749.88	0.40
seq33	525.35	3,219.20	-109.92	438.90	0.48	4,646.53	-103.41	2,029.83	0.60	200.82	658.97	112.15	722.63	0.38	941.57	107.38	2,658.31	0.55
seq34	1,083.04	7,772.87	-95.69	12,659.63	0.35	10,815.61	-102.12	89,529.66	0.45	414.00	1,627.24	116.15	21,284.71	0.31	2,443.38	108.42	90,417.69	0.41
seq35	415.33	3,727.42	-80.85	571.90	0.49	5,007.95	-72.97	1,946.82	0.63	158.76	718.66	116.49	978.18	0.40	983.25	113.96	2,306.05	0.52
seq36	491.42	2,882.96	112.14	174.90	0.48	4,929.77	-54.51	2,869.92	0.59	187.85	562.93	107.88	406.37	0.46	996.99	108.71	3,342.98	0.55
seq37	1,050.70	8,661.88	-215.67	15,532.29	0.34	12,198.50	-139.70	100,756.45	0.44	401.64	1,619.60	115.81	22,129.45	0.26	2,581.99	112.46	80,995.16	0.40
seq38	982.84	4,979.32	66.37	1,750.14	0.36	8,288.41	-50.79	19,204.55	0.48	375.70	1,023.43	106.14	3,504.27	0.34	1,673.20	109.95	21,893.64	0.46
seq39	616.03	5,516.75	-90.59	3,148.77	0.37	8,736.63	-83.33	20,945.38	0.50	235.48	1,134.69	118.69	5,591.34	0.33	1,793.88	115.22	21,176.82	0.47
seq40	1,203.73	9,960.59	-204.00	32,767.42	0.32	13,536.77	-142.88	159,123.50	0.42	460.13	1,942.08	116.50	45,014.81	0.26	2,906.77	112.14	132,945.90	0.38
seq41	742.96	4,899.81	-181.60	1,595.41	0.39	7,160.36	-166.43	7,528.15	0.52	284.00	900.59	110.87	2,298.58	0.29	1,355.48	112.65	9,554.67	0.47
seq42	788.03	4,704.80	-120.69	1,448.81	0.42	7,084.98	-152.40	7,423.22	0.54	301.23	902.64	109.20	2,278.81	0.33	1,360.91	113.00	9,505.72	0.49
seq43	788.03	4,693.73	-127.61	1,429.48	0.42	7,078.21	-155.43	7,489.24	0.54	301.23	896.74	109.30	2,224.45	0.32	1,359.80	112.88	9,496.18	0.48
seq44	788.03	4,676.51	-136.02	1,412.06	0.41	7,083.00	-157.38	7,523.87	0.53	301.23	887.12	108.95	2,127.76	0.32	1,355.77	112.44	9,451.34	0.48
seq45	765.83	4,589.24	-98.63	1,289.25	0.43	7,005.87	-149.97	7,447.92	0.54	292.74	878.95	108.92	2,051.82	0.33	1,348.72	112.43	9,406.70	0.48
seq46	788.03	4,775.49	-131.26	1,525.33	0.42	7,157.81	-153.05	7,293.95	0.54	301.23	911.67	109.48	2,374.23	0.33	1,366.55	113.61	9,621.18	0.48
seq47	982.84	7,357.22	-121.44	8,485.96	0.33	10,411.70	-111.44	34,642.03	0.48	375.70	1,414.81	114.13	12,563.44	0.28	2,084.60	115.61	36,592.22	0.42
seq48	928.70	7,932.93	-291.95	16,363.33	0.33	10,641.03	-142.00	55,517.62	0.45	355.00	1,587.17	118.77	19,947.94	0.29	2,269.63	107.84	74,014.30	0.41
seq49	1,034.16	7,029.28	-34.55	6,767.16	0.36	10,221.51	-69.31	55,237.88	0.47	395.31	1,382.82	111.06	11,832.90	0.30	2,197.58	110.73	48,436.13	0.42
seq50	851.17	8,069.88	-51.85	10,915.39	0.36	11,269.80	-71.37	96,043.70	0.45	325.36	1,579.23	115.87	19,235.33	0.29	2,423.68	109.73	85,787.74	0.40
seq51	454.97	3,455.32	-48.40	367.33	0.52	4,818.53	-17.62	2,583.54	0.60	173.91	648.46	112.62	698.00	0.45	987.98	108.64	2,472.48	0.54
seq52	871.20	5,588.19	-164.09	3,625.83	0.39	7,408.35	-118.20	10,785.45	0.51	333.02	1,112.76	111.72	5,228.28	0.29	1,499.11	110.25	13,516.92	0.43
seq53	1,300.18	10,463.73	-162.79	35,686.73	0.33	14,125.90	-84.58	158,053.81	0.43	497.00	2,035.15	115.36	55,241.92	0.26	2,955.95	113.03	140,879.34	0.38
seq54	587.36	3,064.75	-30.28	337.07	0.46	5,147.62	-56.97	2,380.74	0.58	224.52	625.53	107.59	570.49	0.39	982.93	107.77	3,511.08	0.53
seq55	1,554.01	9,012.10	-115.52	21,445.23	0.32	12,324.49	-45.85	115,987.08	0.43	594.03	1,808.47	110.25	34,613.66	0.25	2,610.23	106.96	132,706.59	0.38
seq56	1,098.85	9,325.91	-206.94	23,710.66	0.33	13,406.55	-93.79	139,567.79	0.43	420.04	1,790.34	115.97	33,428.63	0.25	2,894.31	113.88	111,077.61	0.39
seq57	1,129.81	6,558.33	-61.15	6,270.32	0.36	10,146.14	-64.60	45,176.70	0.48	431.88	1,359.58	110.97	11,072.53	0.31	2,133.69	111.77	45,605.14	0.44
seq58	1,414.55	14,469.46	-196.09	116,131.71	0.27	19,573.07	-142.10	473,845.97	0.39	540.72	2,688.48	118.07	168,879.33	0.20	3,991.22	115.97	398,945.94	0.34
seq59	415.33	3,715.93	21.35	540.00	0.50	6,143.42	20.28	8,284.50	0.54	158.76	754.77	113.53	1,020.79	0.44	1,308.29	110.73	6,435.17	0.50
seq60	809.62	5,119.75	-97.81	1,934.02	0.41	8,053.04	-30.84	16,221.61	0.52	309.48	986.71	110.58	3,173.99	0.35	1,625.36	112.40	15,573.58	0.46
seq61	371.48	4,739.35	-257.00	1,656.72	0.44	6,792.55	-144.45	6,325.14	0.56	142.00	898.41	121.17	2,234.30	0.34	1,340.27	117.21	5,134.45	0.48
seq62	1,189.32	7,653.62	-160.33	12,615.19	0.35	10,777.22	-119.84	71,401.95	0.45	454.62	1,557.46	113.25	18,923.70	0.28	2,320.65	108.27	73,743.83	0.41
seq63	643.42	6,911.91	-238.78	7,024.51	0.37	9,986.11	-91.02	31,279.26	0.49	245.95	1,306.70	118.94	9,866.13	0.27	2,061.46	117.68	25,727.59	0.42
seq64	1,017.34	8,394.05	-154.46	17,403.58	0.34	11,615.31	-142.77	108,987.21	0.44	388.88	1,696.91	116.69	26,403.64	0.28	2,634.82	113.25	86,631.45	0.40
seq65	871.20	7,977.15	-192.57	15,246.33	0.35	11,504.90	-156.72	95,000.22	0.45	333.02	1,632.92	118.78	22,772.86	0.29	2,590.76	115.41	69,994.67	0.41
seq66	1,352.21	11,427.92	-169.26	52,874.15	0.30	15,121.36	-132.44	219,123.66	0.41	516.89	2,232.72	116.70	80,194.94	0.23	3,185.27	112.51	206,188.29	0.37
seq67	1,017.34	8,191.09	-137.52	13,923.91	0.36	11,771.58	-91.52	100,129.89	0.45	388.88	1,615.75	115.32	22,016.45	0.28	2,560.76	111.11	88,902.46	0.41
seq68	1,640.41	14,540.85	-271.07	126,585.72	0.27	18,891.75	-168.57	508,546.44	0.38	627.06	2,691.37	117.13	173,322.62	0.20	3,881.91	111.58	471,843.06	0.34
seq69	1,144.98	11,000.00	-147.37	40,499.38	0.31	14,664.03	-103.76	192,743.80	0.43	437.67	2,112.93	117.50	62,992.98	0.25	3,144.58	115.13	148,070.94	0.38
seq70	947.09	6,177.93	-130.35	4,827.85	0.38	10,037.27	-100.91	64,127.52	0.45	362.03	1,227.19	112.45	7,351.42	0.31	2,202.96	107.63	62,443.05	0.42
seq71	742.96	6,935.67	-209.05	6,298.03	0.36	9,896.49	-92.13	37,102.05	0.48	284.00	1,288.96	117.48	9,288.86	0.29	2,086.20	116.39	25,493.33	0.43
seq72	1,067.00	8,640.00	-54.84	13,992.30	0.33	11,740.22	-65.79	119,464.75	0.42	407.86	1,665.66	114.74	24,572.50	0.27	2,551.43	108.09	113,425.87	0.39
seq73	1,203.73	8,178.69	-44.47	13,098.63	0.35	12,134.24	-86.98	99,952.03	0.45	460.13	1,649.09	111.85	23,443.08	0.29	2,534.32	108.59	103,460.28	0.40
seq74	1,098.85	7,014.98	-39.11	7,732.54	0.36	11,080.24	-59.81	81,190.83	0.45	420.04	1,430.26	110.39	13,254.00	0.31	2,367.84	107.77	81,244.35	0.41
seq75	2,485.03	14,226.86	-10.10	110,689.11	0.26	19,567.48	-27.27	-1,013,479.67	0.36	949.92	2,825.12	108.12	192,072.04	0.23	3,992.30	104.41	-1,473,630.23	0.33
seq76	1,050.70	9,038.82	-94.96	17,951.93	0.33	12,846.58	-86.33	102,057.93	0.44	401.64	1,748.92	115.90	30,170.68	0.27	2,650.12	114.08	95,123.95	0.40
seq77	871.20	6,253.19	-36.52	4,228.40	0.37	9,429.47	-77.39	35,830.74	0.49	333.02	1,237.84	113.30	7,680.13	0.31	2,009.82	114.49	29,889.35	0.45
seq78	742.96	4,095.70	-186.76	1,228.41	0.41	5,982.48	-175.02	6,624.52	0.54	284.00	833.76	110.41	1,680.79	0.33	1,307.38	109.23	6,321.16	0.50
seq79	928.70	5,472.04	73.13	2,219.05	0.35	8,187.69	-68.30	19,973.56	0.49	355.00	1,086.12	108.28	4,471.55	0.33	1,704.75	110.68	20,436.15	0.47
seq80	1,273.37	10,998.50	-77.65	38,150.53	0.32	14,850.41	-90.70	247,778.84	0.42	486.75	2,124.89	114.89	63,007.94	0.26	3,225.08	111.95	204,553.98	0.38
seq81	851.17	7,876.90	-91.91	8,554.97	0.34	10,541.98	-56.60	88,139.82	0.43	325.36	1,452.62	115.82	14,752.74	0.26	2,308.84	108.65	62,952.05	0.39
seq82	1,000.24	8,116.61	-36.60	11,532.65	0.35	11,410.41	-61.74	90,603.77	0.45	382.35	1,609.84	114.93	20,868.99	0.31	2,428.30	109.82	88,368.65	0.41
seq83	1,286.85	11,631.05	-126.13	49,104.49	0.31	16,873.65	-73.76	357,463.70	0.40	491.90	2,219.71	115.97	75,941.03	0.24	3,527.79	113.38	282,506.23	0.36
seq84	928.70	8,717.35	-122.90	15,410.98	0.34	12,750.80	-129.32	100,475.08	0.45	355.00	1,669.84	117.08	24,740.41	0.27	2,671.20	115.80	74,131.45	0.40
seq85	1,508.96	10,302.69	-59.79	33,566.25	0.30	15,143.15	-101.19	193,027.90	0.42	576.81	2,070.54	113.13	58,786.25	0.25	3,153.10	113.72	187,503.08	0.38
seq86	809.62	7,548.97	-207.69	11,438.43	0.37	10,166.86	-117.32	51,774.73	0.47	309.48	1,504.21	118.41	15,883.91	0.30	2,251.38	114.29	40,723.74	0.43
seq87	415.33	4,937.45	-105.68	1,556.28	0.42	6,991.49	-86.09	6,485.68	0.54	158.76	922.63	118.00	2,506.99	0.37	1,354.69	116.54	5,563.63	0.44
seq88	765.83	7,932.06	-131.26	10,616.31	0.35	11,832.56	-36.07	75,933.04	0.46	292.74	1,510.58	118.03	16,766.75	0.28	2,442.94	114.51	62,645.70	0.40
seq89	694.98	10,120.47	-120.65	27,918.76	0.33	14,910.11	-197.98	223,341.67	0.37	265.66	1,992.36	121.93	43,895.34	0.27	3,290.70	113.13	155,503.22	0.33
seq90	525.35	5,570.57	-152.97	3,002.05	0.41	8,599.28	-108.32	19,887.42	0.51	200.82	1,087.10	118.73	4,703.90	0.31	1,743.51	116.27	15,528.92	0.46
seq91	1,098.85	7,567.50	-161.41	11,613.50	0.36	10,382.16	-142.15	56,315.25	0.47	420.04	1,536.66	114.53	18,419.05	0.28	2,215.43	110.71	53,137.46	0.41
seq92	694.98	5,238.13	-257.89	2,930.41	0.41	6,874.94	-186.56	6,694.84	0.54	265.66	1,022.32	115.16	3,852.06	0.29	1,381.27	114.91	8,299.79	0.45
seq93	909.94	7,300.41	-109.22	9,093.31	0.36	10,314.17	-139.16	66,288.44	0.46	347.83	1,462.71	115.59	14,615.20	0.31	2,263.33	110.91	58,696.63	0.42
seq94	890.78	7,562.52	-114.85	10,015.19	0.36	10,386.54	-118.15	63,772.65	0.46	340.50	1,491.09	115.73	15,706.03	0.30	2,255.16	111.34	56,808.77	0.42
seq95	491.42	5,155.37	-151.49	2,090.60	0.41	6,719.90	-125.93	7,982.32	0.54	187.85	994.06	119.22	3,423.39	0.30	1,399.12	116.09	6,817.22	0.46
seq96	525.35	4,005.48	-26.08	641.38	0.44	5,315.33	-15.60	2,339.57	0.55	200.82	755.66	113.21	1,182.49	0.35	1,020.46	110.26	3,513.94	0.55
seq97	1,189.32	11,138.63	-280.91	60,507.69	0.31	15,047.00	-192.94	177,724.22	0.42	454.62	2,229.90	118.96	78,335.39	0.25	3,142.29	113.72	212,913.65	0.37
seq98	1,174.72	10,118.24	-192.47	37,036.26	0.33	14,842.22	-214.03	163,692.82	0.43	449.04	2,016.80	116.06	51,741.67	0.26	3,035.79	115.26	157,547.84	0.38
seq99	1,819.87	11,411.04	49.28	38,480.19	0.26	16,335.05	-59.62	254,671.25	0.39	695.66	2,218.12	109.49	77,951.16	0.22	3,288.99	111.60	291,963.74	0.36
seq100	1,326.45	11,117.89	-119.27	43,405.32	0.31	16,184.30	-82.89	326,410.70	0.40	507.04	2,160.58	115.71	70,184.03	0.25	3,445.54	112.89	252,675.31	0.36
seq101	1,129.81	7,725.41	-174.26	12,212.44	0.35	10,902.95	-97.64	78,556.42	0.45	431.88	1,530.20	113.63	17,783.55	0.28	2,393.10	111.19	63,731.35	0.42
seq102	742.96	4,425.37	-41.11	1,126.36	0.41	5,830.45	-27.64	5,802.17	0.55	284.00	874.24	110.15	1,999.91	0.35	1,203.40	107.60	6,357.15	0.49
seq103	788.03	5,537.60	-85.55	3,289.27	0.40	7,325.73	-74.59	10,453.24	0.54	301.23	1,130.26	113.17	5,215.00	0.35	1,505.73	112.36	13,785.60	0.48
seq104	871.20	7,708.25	-130.64	10,840.24	0.36	10,809.96	-140.85	80,898.62	0.46	333.02	1,516.26	116.34	16,564.06	0.30	2,443.30	113.57	53,092.04	0.42
seq105	890.78	7,344.67	-54.37	8,488.86	0.35	10,411.72	-71.20	53,609.53	0.47	340.50	1,461.55	114.87	14,665.35	0.30	2,208.17	112.89	44,795.57	0.42
seq106	1,129.81	5,911.69	6.59	3,847.19	0.36	8,998.68	-128.02	44,791.55	0.46	431.88	1,214.01	106.59	6,837.62	0.32	1,982.69	107.47	42,269.85	0.43
seq107	851.17	9,016.98	-246.38	18,533.12	0.31	12,394.20	-110.59	56,009.81	0.45	325.36	1,653.83	118.58	24,967.65	0.22	2,394.96	117.21	59,577.43	0.38
seq108	616.03	3,257.26	-130.44	426.83	0.43	5,217.04	-88.54	1,765.51	0.57	235.48	635.27	107.39	601.20	0.37	949.02	110.72	2,858.72	0.55
seq109	830.65	6,848.58	-67.68	5,909.24	0.35	9,907.70	-39.36	39,168.93	0.48	317.52	1,328.39	115.57	10,177.21	0.29	2,030.36	113.40	35,254.76	0.43
seq110	415.33	5,920.11	-51.08	2,619.07	0.37	6,957.99	-84.81	9,433.59	0.52	158.76	1,097.43	119.55	4,554.21	0.28	1,428.91	115.41	6,850.03	0.45
seq111	1,034.16	7,590.91	-187.73	10,902.32	0.36	10,990.29	-136.35	55,227.67	0.46	395.31	1,484.14	114.42	15,847.51	0.28	2,224.04	112.10	58,171.67	0.40
seq112	1,067.00	5,851.43	-89.62	3,784.52	0.38	8,268.68	-117.63	34,374.73	0.48	407.86	1,163.54	107.55	5,895.44	0.31	1,890.64	107.83	28,028.31	0.45
seq113	1,485.92	12,957.15	-26.92	66,682.93	0.29	18,436.05	-57.95	458,133.92	0.39	568.00	2,493.26	114.94	119,481.95	0.24	3,760.16	112.33	429,455.61	0.35
seq114	1,597.80	14,222.36	-193.71	119,758.49	0.28	18,634.11	-141.16	571,924.57	0.39	610.77	2,710.21	116.86	167,963.36	0.23	3,940.69	111.29	514,136.55	0.35
seq115	1,034.16	7,680.84	-177.89	11,761.00	0.36	11,131.07	-95.82	72,541.28	0.46	395.31	1,525.54	115.20	17,545.56	0.29	2,390.09	112.38	64,191.79	0.42
seq116	1,083.04	6,148.72	-168.18	5,970.57	0.35	8,236.49	-127.94	26,804.32	0.49	414.00	1,281.38	111.69	8,462.71	0.30	1,853.42	109.90	25,515.03	0.45
seq117	525.35	3,167.08	-233.96	370.36	0.50	4,477.59	-110.30	1,821.82	0.64	200.82	601.56	110.75	512.70	0.38	931.16	111.17	1,886.62	0.57
seq118	890.78	8,570.24	-67.08	15,588.90	0.34	12,047.44	-87.31	104,369.32	0.45	340.50	1,710.93	116.86	26,098.95	0.29	2,587.22	112.92	82,356.00	0.40
seq119	1,300.18	6,685.98	-80.93	7,030.48	0.34	9,334.11	-120.75	51,390.09	0.45	497.00	1,362.83	107.39	10,545.30	0.29	2,049.99	104.22	58,134.95	0.41
seq120	1,650.89	11,467.53	-44.26	46,786.07	0.29	15,660.54	-83.66	314,858.50	0.40	631.06	2,253.40	112.45	80,400.18	0.25	3,332.39	107.36	352,036.64	0.37
seq121	185.74	3,934.79	-119.01	609.88	0.43	5,431.49	-22.13	2,837.25	0.58	71.00	727.93	122.49	950.30	0.33	1,053.92	116.41	2,159.33	0.49
seq122	1,531.65	9,779.48	-79.63	27,691.02	0.30	14,511.87	-48.68	162,579.88	0.42	585.48	1,928.18	111.14	44,006.01	0.25	2,927.60	109.54	204,738.68	0.38
seq123	909.94	8,087.95	-235.02	11,800.83	0.34	10,860.27	-91.62	43,841.69	0.46	347.83	1,501.77	116.95	17,314.20	0.25	2,146.70	113.38	50,923.00	0.40
seq124	1,000.24	9,498.45	-170.45	24,380.62	0.33	13,814.15	-78.03	188,194.37	0.42	382.35	1,832.20	117.44	35,758.48	0.26	2,936.50	110.69	155,993.01	0.37
seq125	491.42	5,008.52	-99.52	1,651.21	0.41	7,201.99	-68.05	8,614.07	0.52	187.85	937.92	116.76	2,609.28	0.31	1,381.35	112.82	8,601.24	0.45
seq126	669.70	5,439.78	-188.59	2,672.63	0.40	8,658.05	-60.21	19,927.81	0.50	255.99	1,030.77	115.53	3,978.38	0.29	1,729.76	113.41	18,907.95	0.44
seq127	1,273.37	11,131.90	-119.08	44,977.36	0.32	15,812.76	-76.43	411,806.83	0.39	486.75	2,193.98	116.07	72,431.44	0.26	3,507.65	108.67	348,763.29	0.36
seq128	1,462.52	6,922.60	0.88	6,198.71	0.31	8,957.31	-51.78	48,158.09	0.43	559.05	1,360.41	103.04	10,650.70	0.25	1,954.10	101.20	57,291.39	0.40
seq129	947.09	7,366.22	-80.45	9,253.57	0.36	10,095.99	-118.06	90,313.75	0.43	362.03	1,494.46	115.70	14,406.36	0.33	2,352.75	108.12	74,381.40	0.42
seq130	371.48	5,568.89	-358.25	3,225.62	0.39	7,551.07	-151.86	10,531.41	0.53	142.00	1,034.54	122.71	3,638.74	0.30	1,541.71	113.36	11,134.43	0.46
seq131	694.98	6,259.15	-119.16	4,097.19	0.39	9,245.68	-57.86	22,357.78	0.50	265.66	1,199.05	117.03	6,830.18	0.31	1,838.44	114.58	23,034.54	0.43
seq132	415.33	4,122.03	-70.28	717.72	0.45	5,661.46	-108.17	3,525.40	0.57	158.76	791.51	117.93	1,498.77	0.39	1,158.72	114.38	3,869.38	0.50
seq133	1,217.98	8,092.58	-90.42	13,771.40	0.35	12,568.08	-63.00	142,728.84	0.43	465.58	1,647.66	112.99	23,386.57	0.30	2,729.98	108.92	142,371.00	0.40
seq134	965.13	9,696.18	-207.88	23,881.89	0.31	13,881.60	-74.39	130,456.64	0.43	368.93	1,800.66	118.28	34,559.91	0.23	2,820.18	113.42	117,906.42	0.38
seq135	1,497.48	11,345.18	-72.75	51,985.04	0.30	16,096.18	-124.46	543,096.35	0.38	572.42	2,297.74	114.34	84,316.16	0.27	3,666.37	106.47	504,950.36	0.36
seq136	415.33	4,817.76	-94.52	1,247.59	0.44	6,440.48	-51.37	6,803.46	0.56	158.76	896.30	116.40	1,919.36	0.38	1,330.55	115.38	5,528.33	0.50
seq137	1,339.39	6,281.55	-16.85	4,536.27	0.34	9,230.53	-108.94	43,298.53	0.45	511.99	1,246.68	102.63	7,634.24	0.26	2,011.02	107.59	40,809.19	0.42
seq138	1,819.87	15,181.02	-215.90	161,468.12	0.28	21,144.16	-107.10	-1,654,477.11	0.38	695.66	2,905.35	116.14	231,306.88	0.21	4,406.49	112.78	-1,481,862.60	0.34
seq139	788.03	9,331.13	-148.97	19,994.28	0.32	13,128.12	-83.21	130,573.33	0.43	301.23	1,762.99	119.05	29,361.72	0.25	2,786.26	115.35	84,825.56	0.39
seq140	965.13	9,079.09	-120.68	18,461.73	0.34	12,484.33	-59.96	104,723.88	0.45	368.93	1,753.66	117.19	29,933.76	0.27	2,619.93	113.93	86,152.69	0.39
seq141	928.70	8,780.94	-219.30	21,515.07	0.33	13,390.30	-161.89	165,196.11	0.41	355.00	1,746.05	118.68	30,445.78	0.25	2,904.57	113.34	130,088.37	0.38
